Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
1;18,88;11,31;15,76285714;75;;;;93,75;;;;;;100;;100;;83,33333333;99,62428571;53,1;97,6;0,572;3,69;23,30%;0,5452;;;;
2;32,70;18,775;22,05333333;66,66666667;;;;85,71428571;;;;;;100;;87,5;;100;96,89785714;50,1;98,9;0,597;17,8;3,33%;0,6543;;;;
3;22,93;5,24;16,37;23,05;18,85;30,56;;59,78;15,67;75,00;50,00;;;87,50;75,00;78,89;;50,53;99,78;50,80%;97,4;0,582;49,4;3,55%;0,5506;;;;
4;15,06;8,276;10,32357143;71,97;;100;;56,48111111;33,33333333;50;;;;75;75;86,665;100;47,22;97,85785714;51,8;97,9;0,576;38,1;3,62%;0,5372;;;;
5;23,50;10,59333333;14,95636364;33,33285714;;60;;77,167;37,5;50;;;;83,33333333;;86,36272727;;75,499;96,05785714;49,9;98,7;0,595;9,1;3,67%;0,5312;;;;
6;28,60;19,58;22,948;66,66666667;;;;85,71428571;;;;;;100;;100;100;83,33333333;99,78428571;49,5;95,7;0,578;4,7;3,34%;0,4806;;;;
7;62,74;42,41;59,71;100;;;;92,85714286;50;100;;;;;;100;;72,22;99,74;52,6;98,5;0,548;45,7;3,50%;0,4732;;;;
8;38,58;6,393333333;21,798;31,32857143;19,1675;11,11;;71,68;23,546;;;;;100;;70,50083333;100;60,87214286;97,77785714;49,3;96,3;0,582;9,3;3,57%;0,4653;;;;
9;;;;100;;;;100;;;;;;;;100;;;99,71785714;50,8;98,1;0,606;10;3,28%;0,5035;;;;
10;25,95;18,815;16,14181818;59,52333333;50;;;80,35666667;49,88166667;;;;;100;;96,666;;66,07;99,06071429;50,4;96,2;0,578;4,7;3,47%;0,5148;;;;
11;25,05;11,17333333;14,84076923;31,78555556;31,25;;;75,11916667;50;66,67;;;;66,665;;77,72545455;50;59,442;98,18642857;54,8;95;0,549;12,4;3,43%;0,5333;;;;
12;15,95;7,948;13,41777778;70,002;;;;64,28428571;100;100;;;;100;100;100;;62,4975;96,97;50,1;97,3;0,548;49,4;3,23%;0,5461;;;;
